eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
A5b1;1e-04;3e-04;3e-04;0.0015;0.0011;
D4b;1e-04;2e-04;0;0.0012;2e-04;
W3a1b;1e-04;0.0011;1e-04;0.0026;1e-04;
U2a1b;1e-04;2e-04;0;0.0012;2e-04;
B4m*;1e-04;2e-04;1e-04;0.0024;0.0015;
M12b2;1e-04;2e-04;0;0.0012;2e-04;
M5c1;1e-04;0.0012;0;0.0033;1e-04;
M12a;1e-04;3e-04;6e-04;0;0;
M71c;1e-04;4e-04;5e-04;0.0017;0.0012;
D4b2b;1e-04;3e-04;2e-04;0.0011;8e-04;
M37e2;1e-04;2e-04;0;0.0012;2e-04;
A17;3e-04;0.0013;3e-04;0.006;0.0034;
M40a1;1e-04;0.001;1e-04;0.0023;0;
F1g;2e-04;0.0039;1e-04;0.0056;0.0028;
M13a2*;1e-04;0.0013;0.0014;0.0021;0;
F1d;1e-04;2e-04;1e-04;0.0019;0.0011;
B4a5;1e-04;7e-04;4e-04;0.0038;0.0032;
F1g1*;1e-04;3e-04;1e-04;0.002;0.0019;
C5d;1e-04;3e-04;1e-04;0.002;0.0019;
D4b2;1e-04;3e-04;1e-04;0.002;0.0019;
A+152+16362;1e-04;0.0032;2e-04;0.0048;0.0025;
M37e;1e-04;4e-04;3e-04;0.0018;0.0014;
F1a'c'f;1e-04;4e-04;3e-04;0.0016;0.0013;
M12b;1e-04;2e-04;1e-04;9e-04;7e-04;
B5a1;3e-04;0.0014;8e-04;0.0054;0.0043;
B4g2;3e-04;0.0016;9e-04;0.0078;0.0064;
Z3;1e-04;0.0034;0.0011;0.0023;7e-04;
M3a1+204;1e-04;2e-04;1e-04;9e-04;7e-04;
K1a4;1e-04;2e-04;1e-04;9e-04;7e-04;
M7b1a1e;1e-04;5e-04;2e-04;0.0019;0.0019;
B4d1a;1e-04;0.0033;0.0012;0.002;5e-04;
F2a1;1e-04;9e-04;0;0.0018;0.0011;
A13*;1e-04;0.0039;8e-04;0.0032;0.0011;
G2;2e-04;0.0037;3e-04;0.0043;0.002;
D4j3;1e-04;0.0041;8e-04;0.0036;0.0011;
G2a1d2a;1e-04;0.0032;2e-04;0.0045;0.002;
G3b2;1e-04;4e-04;1e-04;0.0018;0.0012;
D4j1a1;1e-04;6e-04;2e-04;0.0016;0.001;
R2+13500;1e-04;6e-04;2e-04;0.0027;0.002;
D5a2a1;1e-04;4e-04;2e-04;0.0021;0.0014;
Z3a;1e-04;7e-04;1e-04;0.0025;0.0015;
G1a;1e-04;3e-04;1e-04;9e-04;7e-04;
N9a3;1e-04;0.001;1e-04;0.0023;0;
F1a2a;1e-04;6e-04;2e-04;0.0022;0.0018;
H14;1e-04;0.001;1e-04;0.0023;0;
M5a;1e-04;0.001;1e-04;0.0023;0;
C7a1a;1e-04;0.001;1e-04;0.0023;0;
D4g2a1;1e-04;7e-04;0;0.001;5e-04;
M5c2;1e-04;0.001;1e-04;0.0023;0;
M60;1e-04;0.001;1e-04;0.0023;0;
M6a1a;1e-04;0.001;1e-04;0.0023;0;
R30;1e-04;0.001;1e-04;0.0023;0;
I1b;1e-04;0.001;1e-04;0.0023;0;
M45a;1e-04;0.001;1e-04;0.0023;0;
M30;1e-04;0.001;1e-04;0.0023;0;
F1a1c1;1e-04;7e-04;1e-04;0.0023;6e-04;
F1a1a1*1;1e-04;0.0014;1e-04;0.0045;0.0014;
E1a1a1a*;1e-04;9e-04;1e-04;0.0031;9e-04;
M71c*;1e-04;0.001;1e-04;0.0036;0.0011;
U2c1b*1;1e-04;0.001;1e-04;0.0023;0;
U2b2;1e-04;0.001;1e-04;0.0023;0;
D4g2a1c;1e-04;0.0014;0;0.0033;4e-04;
M71a1a;1e-04;7e-04;1e-04;0.0024;0.0018;
M50a;1e-04;1e-04;6e-04;1e-04;0;
M61;1e-04;5e-04;3e-04;0.0015;0.0015;
D4j1;1e-04;6e-04;0;0.0018;0.001;
R5a1a;1e-04;6e-04;0;0.0018;0.001;
C4a1b;1e-04;6e-04;0;0.0018;0.001;
M8a2a1*;2e-04;0.0013;1e-04;0.0036;0.0026;
Z;1e-04;2e-04;2e-04;8e-04;5e-04;
M9a1a1;1e-04;2e-04;2e-04;8e-04;5e-04;
M12a1b;1e-04;2e-04;2e-04;8e-04;5e-04;
M68a;1e-04;3e-04;3e-04;0.0013;0.0011;
B4b1;1e-04;2e-04;2e-04;7e-04;7e-04;
M9a4a1;1e-04;0;0.0046;0.0037;7e-04;
B5a;1e-04;3e-04;2e-04;0.0014;0.0011;
B4h1;1e-04;3e-04;2e-04;0.0014;0.0011;
F2h;1e-04;3e-04;2e-04;0.0014;0.0011;
F1a;3e-04;0.0019;6e-04;0.0062;0.0052;
D6c;1e-04;3e-04;1e-04;0.0015;0.0014;
M57a;1e-04;0.001;1e-04;0.0023;0;
M48;1e-04;0.001;1e-04;0.0023;0;
I1e;1e-04;4e-04;0;0.001;7e-04;
D4h3;1e-04;4e-04;0;0.001;7e-04;
M7c2;1e-04;4e-04;1e-04;9e-04;9e-04;
G1a2;1e-04;1e-04;1e-04;9e-04;7e-04;
F1a1a*3;1e-04;2e-04;2e-04;7e-04;7e-04;
M9b;1e-04;3e-04;4e-04;0.0011;0.001;
M32c;1e-04;2e-04;2e-04;7e-04;7e-04;
B5b1;1e-04;3e-04;2e-04;6e-04;4e-04;
M35b+16304;1e-04;1e-04;0;0;2e-04;
R8a1a1a1;1e-04;1e-04;0;0;2e-04;
M3c2;1e-04;1e-04;0;0;2e-04;
B5a1d*1;1e-04;8e-04;1e-04;0.0023;8e-04;
G2b1a;1e-04;8e-04;2e-04;0.003;0.0023;
B4a1c5*;1e-04;5e-04;2e-04;0.0028;0.0021;
F1e;1e-04;4e-04;2e-04;0.0019;0.0015;
F3b+152;1e-04;1e-04;1e-04;0.0015;0.0013;
M7c2b;1e-04;1e-04;1e-04;0.0015;0.0013;
M7b1a1h;1e-04;4e-04;4e-04;0.0026;0.0023;
G3a1;1e-04;6e-04;0;7e-04;5e-04;
A+152+16362+200;1e-04;8e-04;1e-04;0.0029;0.0021;
R6+16129*;1e-04;7e-04;1e-04;0.0023;7e-04;
M5a2a;1e-04;4e-04;0;0.001;7e-04;
B4a4;1e-04;3e-04;1e-04;0.0013;0.0011;
Y1;1e-04;3e-04;1e-04;0.0013;0.0011;
G2a+152;1e-04;3e-04;1e-04;0.0013;0.0011;
A15a;1e-04;3e-04;1e-04;0.0013;0.0011;
G1a1;1e-04;6e-04;3e-04;0.0024;0.002;
G2c;1e-04;3e-04;1e-04;0.0013;0.0011;
D5a2b;1e-04;4e-04;3e-04;0.002;0.0014;
D4b1a;1e-04;3e-04;1e-04;0.0013;0.0011;
U2c1;1e-04;1e-04;1e-04;9e-04;7e-04;
B5b1a;1e-04;1e-04;1e-04;9e-04;7e-04;
P1d2;1e-04;1e-04;0.0033;0.0068;0.0035;
D6a;1e-04;1e-04;0.0033;0.0068;0.0035;
M51a1a;1e-04;2e-04;2e-04;5e-04;4e-04;
M10;1e-04;3e-04;1e-04;0.0016;0.0013;
D5c+16311;1e-04;1e-04;2e-04;6e-04;6e-04;
B4c1b2b;1e-04;1e-04;2e-04;6e-04;6e-04;
D4s;1e-04;4e-04;3e-04;0.0022;0.0015;
M11a2;1e-04;3e-04;1e-04;0.0013;9e-04;
M12a1a1;1e-04;3e-04;3e-04;0.0017;0.0016;
B5b2+@204;1e-04;1e-04;2e-04;6e-04;6e-04;
M22b*;1e-04;1e-04;2e-04;6e-04;6e-04;
D4a7*;1e-04;1e-04;2e-04;6e-04;6e-04;
M9a4b;1e-04;1e-04;2e-04;6e-04;6e-04;
F1b1c;1e-04;7e-04;3e-04;0.0027;0.002;
F1c1a1;2e-04;0.001;3e-04;0.0035;0.0031;
M7c1c2a;1e-04;4e-04;1e-04;0.0017;0.0012;
D4b2b2a;1e-04;4e-04;1e-04;0.0017;0.0012;
B4c;1e-04;9e-04;4e-04;0.0033;0.0025;
B4c1a;1e-04;3e-04;1e-04;9e-04;7e-04;
M70;1e-04;3e-04;1e-04;9e-04;7e-04;
B4;1e-04;3e-04;2e-04;0.0011;9e-04;
B4g1;1e-04;3e-04;2e-04;0.0011;9e-04;
G2a1+16189;1e-04;2e-04;2e-04;0.0014;0.0011;
F2a;1e-04;3e-04;2e-04;0.0015;0.0011;
B4a1c*;1e-04;2e-04;2e-04;0.001;9e-04;
B4c1b+16335;1e-04;2e-04;2e-04;0.001;9e-04;
R9b1a2a;1e-04;4e-04;1e-04;0.0019;0.0011;
R9b1a2b;1e-04;2e-04;2e-04;0.001;9e-04;
N21;1e-04;1e-04;0;0;2e-04;
M5;1e-04;1e-04;0;0;2e-04;
B4a1d;1e-04;1e-04;2e-04;6e-04;6e-04;

inertia
0.2297159;0.06872548;0.2476068;0.1078659;0.2124109;0.1258166;0.08445007;0.1102838;0.7460575;0.01895807;0.3812262;0.1169397;0.08869098;0.04391867;0.009730095;0.1912605;0.1093677;0.01763361;0.08148484;0.01020298;0.1421039;0.01195517;0.01012915;0.04464779;0.6404727;0.06095905;0.1420761;0.04042763;0.1983677;0.008606212;0.2895103;0.03518252;0.03322169;0.01598758;0.03197594;0.2966097;0.1621707;0.7827494;0.05981166;0.08053298;0.0630587;0.2208753;0.01334669;0.08736382;0.2265813;0.01985292;0.897882;0.2234501;0.03142563;0.02099127;0.01257573;0.04084509;0.0382743;0.01458741;0.02456688;0.006472927;0.7368415;0.005955456;0.08941759;0.03024008;0.8447585;0.02546657;0.07689817;0.3017387;0.05569334;0.390033;0.1952398;0.1070507;0.2387257;0.2172896;0.007786469;0.1128183;0.009904173;0.03000732;0.06167098;0.05247317;0.1723121;0.06375093;0.1152249;0.06659951;0.06940068;0.01350553;0.03232368;0.2234528;0.3396124;0.3614145;0.4019649;0.003376383;0.05020094;0.2959214;0.01682734;0.01469821;0.1297372;0.04406931;0.01612688;0.003376383;0.663779;0.01012915;0.08336784;0.2978261;0.155836;0.01418495;0.01301599;0.2788779;0.1702745;0.1573287;0.3309181;0.2745575;0.2037684;0.2206121;0.242926;0.1647266;0.0750594;0.4221495;0.1796827;0.1421625;0.3098821;0.330228;0.09053353;0.03520376;0.02758744;0.5164159;0.02758744;0.05517487;0.1222793;0.06738581;0.06652603;0.114186;0.05660462;0.0451521;0.2486307;0.008751218;0.1127374;0.6585436;0.1223416;0.008751218;0.008751218;0.07334154;0.008751218;0.6712629;0.2644543;0.03148399;0.04871157;0.3020015;0.09020496;0.9927537;0.09927537;0.1521481;0.1353571;0.002582981;0.09020496;0.0451521;0.0451521;0.03740783;0.03000976;0.04967271;0.1594494;0.01311359;0.06795226;0.7544149;0.09692063;0.03139315;0.007848288;0.02871083;0.04671986;0.03655911;0.02354486;0.01569658;0.005265307;0.02612784;0.03397613;0.2894539;0.03139315;0.03082895;0.04831288;0.002582981;0.0902504;0.005265307;0.04336091;0.007848288;0.002582981;0.01043127;0.002582981;0.002582981;0.002582981;0.007848288;0.002582981;0.002582981;0.002582981;0.002582981;0.002582981;0.005265307;0.01043127;0.002582981;0.005265307;0.002582981;0.002582981;0.002582981;0.002582981;0.002582981;0.002582981;0.002582981;0.1240942;0.008751218;0.1022927;0.03790361;0.2481384;0.05518599;0.02681712;0.08267972;0.1364165;0.2794657;0.1530582;0.04960319;0.03346435;0.07255714;0.02124355;0.07234304;0.1120901;0.8948159;0.08107382;0.01418495;0.03189277;0.01418495;0.04345008;0.06009324;0.02763196;0.011641;0.02484516;0.08783301;0.0572278;0.0766396;0.5672023;0.1252122;0.06598951;0.1804463;0.3452449;0.04318043;0.03588822;0.0255051;0.05672691;0.165492;0.2228141;0.0661555;0.4327864;0.0902504;0.05475489;0.7091239;0.06938554;0.1413781;0.05806435;0.7982509;0.06074789;0.0505867;0.03908125;0.05518599;0.05518599;0.6763381;0.05518599;0.08270471;0.08270471;0.9072783;0.1042419;0.0691797;0.9018526;0.01459936;0.01515788;0.02511389;0.03578927;0.01459936;0.07050718;0.01389502;0.01459936;0.01459936;0.01459936;0.05669869;0.05669869;0.01350887;0.05259483;0.06253636;0.06619;0.06619;0.01459936;0.1719058;0.01459936;0.05487181;0.01459936;0.01459936;0.01875549;0.0465131;0.01203558;0.01203558;0.06619;0.006169989;0.007942029;0.06619;0.05357066;0.01459936;0.03233604;0.02415351;0.01459936;0.007942029;0.01459936;0.01582653;0.1655087;0.0451521;0.01459936;0.02919872;0.02614976;0.1985907;0.03306536;0.03978673;0.1037845;0.02665822;0.1418788;0.07088975;0.354548;0.02362992;0.02362992;0.09685373;0.09685373;0.09685373;0.0726403;0.02421343;0.02421343;0.1654754;0.3308515;0.1359585;0.06622334;0.05449644;0.0506336;0.4963768;0.06773309;0.02254459;0.04760036;0.1145407;0.1103848;0.1900693;0.09038725;0.09502807;0.1061659;0.07577014;0.03396209;0.1086226;0.04819095;0.1045475;0.02124689;0.04842687;0.02421343;0.04842687;0.02421343;0.02421343;0.09781763;0.07632738;0.3565422;0.1527471;0.02542474;0.02953849;0.02542474;0.03783501;0.09227961;0.09227961;0.04613981;0.02311952;0.02311952;0.07492569;0.02311952;0.0287763;0.1653921;0.1102283;0.05031175;0.01865364;0.02254459;0.01760009;0.1323874;0.03307202;0.004864493;0.08634218;0.03407098;0.5483382;0.0685;0.02425552;0.0447377;0.0161591;0.05637749;0.008029981;0.07969996;0.008029981;0.02872037;0.03254444;0.0615518;0.04290722;0.03254444;0.02477924;0.6836352;0.01138952;0.005296137;0.025484;0.03234344;0.02693004;0.01712267;0.1282011;0.007415302;0.006139531;0.06195516;0.01703838;0.004064558;0.02980497;0.01209454;0.01644701;0.005842308;0.06208294;0.01021432;0.004064558;0.03490118;0.02759243;0.0295796;0.004064558;0.02864613;0.01209454;0.06043149;0.004064558;0.0308334;0.07571494;0.04238115;0.05770585;0.09676021;0.03869172;0.03971015;0.04963768;0.04438501;0.03434491;0.03085669;0.04316305;0.03159096;0.1004995;0.04316305;0.009414091;0.01339852;0.004756593;0.04149457;0.009414091;0.2096931;0.009414091;0.009414091;0.02728632;0.004756593;0.004756593;0.0775501;0.004756593;0.1138803;0.03690369;0.1996497;0.004756593;0.02721988;0.009414091;0.004756593;0.005514025;0.0242585;0.02511294;0.01762472;0.004756593;0.03969009;0.004756593;0.009166963;0.004756593;0.01025756;0.03210688;0.01086784;0.03590301;0.004756593;0.07461126;0.006169989;0.03998225;0.007942029;0.1255647;0.0498075;0.02442174;0.02938551;0.004864493;0.02651756;0.03280014;0.1635927;0.03971015;0.03132619;0.02942386;0.05432348;0.007348598;0.007348598;0.02684557;0.0902504;0.2357262;0.1179303;0.02358907;0.04678308;0.03158374;0.01174068;0.2157271;0.02979013;0.02484699;0.03283688;0.03545202;0.01243949;0.05722629;0.02487899;0.018709;0.006169989;0.01240187;0.006169989;0.006169989;0.01243949;0.006169989;0.006169989;0.018709;0.006169989;0.183895;0.08990636;0.1728365;0.09930356;0.006169989;0.006169989;0.01040136;0.3735393;0.04316739;0.04818246;0.1588406;0.1191304;0.07942029;0.04206272;0.01985507;0.05956522;0.03971015;0.03431884;0.007942029;0.4473878;0.03971015;0.01985507;0.03971015;0.03111593;0.03612168;0.01243949;0.01243949;0.006942981;0.01388596;0.07632738;0.01875549;0.007942029;0.01072501;0.007942029;0.03971015;0.01709775;0.01709775;0.01709775;0.06818686;0.1122938;0.03006768;0.07089097;0.02235272;0.01112669;0.06517252;0.04963768;0.04536018;0.03971015;0.006942981;0.01657231;0.01657231;0.03304538;0.01657231;0.08586346;0.01657231;0.07243686;0.01657231;0.01875549;0.01875549;0.05838568;0.05838568;0.01259402;0.1752563;0.01181853;0.01181853;0.1234078;0.03008347;0.01759404;0.01181853;0.01181853;0.01181853;0.01181853;0.2046132;0.02875282;0.08267972;0.05518599;0.1959524;0.07090404;0.01181734;0.2205899;0.1378935;0.02680705;0.1929719;0.02066385;0.02066385;0.1815202;0.02066385;0.01709775;0.01709775;0.02363706;
svd
vs
1;0.9688172;0.9659073;0.9578783;0.9535446;0.9510525;0.9488266;0.9427594;0.9413746;0.9407206;0.9318807;0.9290792;0.922068;0.9122409;0.9103511;0.9071552;0.903828;0.8953054;0.8948054;0.8845819;0.8805206;0.8675172;0.8644592;0.8558595;0.8526789;0.852191;0.8458121;0.839511;0.837039;0.832362;0.8305963;0.8185406;0.8118556;0.8050049;0.8004264;0.7947685;0.7937235;0.784341;0.7813149;0.7756132;0.7718517;0.7646108;0.7611681;0.7453631;0.733069;0.7299016;0.7203699;0.7117565;0.7052935;0.6966678;0.6905464;0.6829819;0.6741639;0.6683894;0.6605766;0.6561407;0.6523892;0.6474879;0.6408506;0.6360414;0.6282004;0.6263517;0.6223313;0.6196464;0.6126449;0.6070866;0.5981368;0.59008;0.5858575;0.5820414;0.5800723;0.5711045;0.5699252;0.5636269;0.5587934;0.5516361;0.5501504;0.5493877;0.5458691;0.5395122;0.5306299;0.5256239;0.5223846;0.5175281;0.5102406;0.5047607;0.5013118;0.4944627;0.4882497;0.4836004;0.4756571;0.4716987;0.4681251;0.4596003;0.4458624;0.4402738;0.4373284;0.4301474;0.427534;0.4236704;0.4229063;0.4159778;0.4123193;0.4079664;0.4007215;0.3962205;0.3905703;0.3882909;0.3868607;0.3800925;0.3779704;0.3740524;0.3607016;0.3552325;0.3500374;0.3460919;0.340771;0.3366423;0.3330263;0.3240415;0.3205949;0.3062821;0.2957022;0.2816796;0.2747639;0.2719938;0.2608034;0.2484179;0.2384247;0.2069964;0.1701508;0.1183215;0.0715491;1.109049e-15;9.708697e-16;3.099973e-16;7.66463e-17;
U
   ;
;0.0854;0.1373;-0.0399;0.0721;0.154;
;0.0854;-0.2821;0.6542;-1.1493;-0.741;
;0.0854;0.3179;0.2588;0.9418;0.9737;
;0.0854;-0.2262;0.5097;-0.7673;-0.4663;
;0.0854;-0.2195;0.4921;-0.6927;-0.4103;
;0.0854;0.177;0.1636;0.3589;0.3279;
;0.0854;0.1951;0.1583;0.3891;0.3606;
;0.0854;-3.9775;-3.1802;0.3352;0.3528;
;0.0854;0.1229;0.0845;0.4507;0.4177;
;0.0854;-0.0524;0.3431;-0.2406;-0.0908;
;0.0854;-0.2838;0.5105;-0.6936;-0.3652;
;0.0854;-0.2925;0.5546;-0.9358;-0.5761;
;0.0854;0.1621;0.1817;0.3664;0.3539;
;0.0854;0.0511;0.2525;0.005;0.064;
;0.0854;-0.2468;0.7094;-1.1594;-0.7513;
;0.0854;0.1787;0.164;0.3799;0.337;
;0.0854;0.2334;0.2479;0.7604;0.8162;
;0.0854;-0.2659;0.5862;-0.9233;-0.562;
;0.0854;0.3562;0.4351;1.3654;1.787;
;0.0854;-3.9775;-3.1802;0.3352;0.3528;
;0.0854;-0.295;0.5255;-0.8515;-0.5118;
;0.0854;0.6696;-0.4028;0.5256;0.2651;
;0.0854;0.3201;0.1716;0.766;0.5782;
;0.0854;-0.3291;0.5211;-0.8536;-0.5054;
;0.0854;-0.2023;0.5299;-0.6756;-0.3765;
;0.0854;0.1679;0.1787;0.3791;0.3539;
;0.0854;0.2073;0.1625;0.2932;0.2368;
;0.0854;-0.4499;0.5139;-1.0507;-0.6552;
;0.0854;-0.1015;0.4196;-0.8729;-0.5104;
;0.0854;-0.1015;0.6746;-0.9627;-0.6921;
;0.0854;0.3092;0.0929;0.5595;0.2938;
;0.0854;-0.1781;0.4641;-0.6388;-0.3709;
;0.0854;0.2757;0.0759;0.4916;0.3706;
;0.0854;-0.1681;0.4455;-0.568;-0.3148;
;0.0854;-0.6693;0.5614;-1.4626;-0.9608;
;0.0854;-0.228;0.4308;-0.5371;-0.2689;
;0.0854;0.214;0.1285;0.4234;0.3846;
;0.0854;0.8504;-0.6681;0.4055;-0.0092;
;0.0854;-0.4544;0.6951;-1.4149;-0.9281;
;0.0854;0.2101;0.0723;0.1723;0.1035;
;0.0854;0.1779;0.1369;0.3455;0.305;
;0.0854;-0.1197;0.3882;-0.4344;-0.2385;
;0.0854;-0.2815;0.5833;-0.9142;-0.5492;
;0.0854;0.1434;0.2502;0.1425;0.1925;
;0.0854;0.1403;0.1799;0.285;0.2844;
;0.0854;4.9703;-6.6671;-5.4483;-0.1942;
;0.0854;-0.0201;0.2665;-0.0585;-0.0291;
;0.0854;-3.9775;-3.1802;0.3352;0.3528;
;0.0854;-0.2216;0.5073;-0.6454;-0.3942;
;0.0854;0.0842;0.2886;-0.131;-0.0195;
;0.0854;-0.2788;0.5171;-0.8135;-0.4877;
;0.0854;-0.3251;0.6497;-1.0778;-0.6653;
;0.0854;0.2164;0.1863;0.5222;0.4806;
;0.0854;-0.4238;-0.4362;0.5334;-0.0668;
;0.0854;-3.9775;-3.1802;0.3352;0.3528;
;0.0854;0.2883;0.0924;0.5527;0.4697;
;0.0854;0.2397;0.0664;0.3594;0.3222;
;0.0854;0.1458;0.1616;0.444;0.4317;
;0.0854;0.1632;0.1409;0.3634;0.2968;
;0.0854;0.0207;0.7405;-0.7417;-0.3929;
;0.0854;-0.1945;0.4988;-0.633;-0.3429;
;0.0854;-0.4421;0.502;-1.0214;-0.6351;
;0.0854;-0.1603;0.4051;-0.4412;-0.2259;
;0.0854;-0.2549;0.5803;-0.8703;-0.5157;
;0.0854;0.186;0.1243;0.4471;0.2393;
;0.0854;0.1808;0.1451;0.3246;0.2706;
;0.0854;-0.2669;0.6121;-1.0173;-0.6196;
;0.0854;0.1645;0.1071;0.3648;0.291;
;0.0854;-0.1999;0.7467;-1.221;-0.8508;
;0.0854;0.2476;0.1416;0.486;0.4113;
;0.0854;0.2082;0.1398;0.3548;0.299;
;0.0854;0.6482;-0.4423;0.9361;-0.5455;
;0.0854;-0.1497;0.386;-0.4494;-0.2391;
;0.0854;2.2378;-2.23;1.108;-0.2113;
;0.0854;-0.8037;0.0466;-0.7454;-0.4352;
;0.0854;0.0508;0.2102;0.1388;0.185;
;0.0854;0.1707;0.1507;0.363;0.3075;
;0.0854;0.1901;0.1405;0.425;0.3513;
;0.0854;-0.4152;0.6232;-1.239;-0.8026;
;0.0854;-0.2356;0.6322;-1.294;-0.8607;
;0.0854;0.2161;0.1679;0.3927;0.353;
;0.0854;-0.4453;0.1279;-0.3914;-0.1937;
;0.0854;0.224;0.1348;0.5049;0.4493;
;0.0854;-0.0222;0.0323;0.365;0.3454;
;0.0854;-0.2945;0.5135;-0.8578;-0.5252;
;0.0854;0.1911;0.1472;0.4526;0.3817;
;0.0854;0.3397;0.4109;1.2862;1.668;
;0.0854;0.296;0.3475;1.0461;1.2;
;0.0854;-0.01;0.2604;-0.0416;-0.0171;
;0.0854;0.2436;0.0989;0.3489;0.3428;
;0.0854;-0.202;0.4871;-0.6329;-0.3418;
;0.0854;-0.1685;0.4475;-0.5302;-0.2896;
;0.0854;0.209;0.246;0.5794;0.6716;
;0.0854;2.0957;-2.1192;0.5405;-0.0534;
;0.0854;0.2078;0.1464;0.4528;0.3959;
;0.0854;0.5238;0.3511;2.7993;4.9454;
;0.0854;0.2173;0.0857;0.4709;0.357;
;0.0854;-0.4118;0.503;-0.9742;-0.5995;
;0.0854;0.192;0.2057;0.5948;0.6021;
;0.0854;1.9369;-2.132;-0.6521;-0.0333;
;0.0854;0.299;0.1121;0.5584;0.3109;
;0.0854;-0.0607;0.2824;-0.1344;-0.092;
;0.0854;0.3693;-0.1094;0.5626;0.0746;
;0.0854;-0.31;0.5389;-0.9423;-0.5835;
;0.0854;-0.3799;0.6322;-1.2118;-0.785;
;0.0854;0.2569;0.2272;0.7043;0.6918;
;0.0854;0.1816;0.1532;0.4395;0.3896;
;0.0854;-0.4341;0.621;-1.2524;-0.8096;
;0.0854;0.774;-1.0265;6.1749;-8.9238;
;0.0854;0.2103;0.1295;0.4673;0.4153;
;0.0854;-0.0974;0.4793;-0.3911;-0.1912;
;0.0854;0.1711;0.0913;0.348;0.3198;
;0.0854;0.1971;0.1639;0.4872;0.5319;
;0.0854;0.1592;0.1672;0.2655;0.2368;
;0.0854;0.1995;0.1124;0.5295;0.5098;
;0.0854;0.1423;0.1452;0.3516;0.2914;
;0.0854;0.281;0.0281;0.3084;0.2612;
;0.0854;0.1873;0.1302;0.4267;0.3597;
;0.0854;1.6482;-1.5575;0.7069;-0.0376;
;0.0854;0.1748;0.1595;0.3904;0.3553;
;0.0854;0.2257;0.3402;0.7831;0.9495;
;0.0854;0.2038;0.1487;0.4142;0.3754;
;0.0854;0.1557;0.169;0.3151;0.3091;
;0.0854;0.2247;0.0721;0.3733;0.3173;
;0.0854;0.2006;0.1415;0.4461;0.444;
;0.0854;-0.2921;0.5487;-0.9302;-0.6102;
;0.0854;0.2583;0.0857;0.4069;0.3277;
;0.0854;1.0142;-0.8259;-0.0176;0.1427;
;0.0854;-0.4396;0.5105;-1.0184;-0.6314;
;0.0854;-0.115;0.421;-0.4269;-0.2206;
;0.0854;0.1405;0.1416;0.3487;0.3097;
;0.0854;-3.9775;-3.1802;0.3352;0.3528;
;-11.7047;0;0;0;0;
;0.0854;-0.1078;0.4397;-0.4478;-0.2681;
;0.0854;0.2018;0.1531;0.435;0.3897;
;0.0854;0.158;0.0688;0.3988;0.1696;
;0.0854;2.6375;-2.6686;1.4949;-0.3279;
;0.0854;-0.0782;0.78;-0.7505;-0.3535;

V
   ;
;0.0854;-0.2527;0.4556;-0.6663;-0.3852;
;0.0854;0.08;0.251;0.1205;0.1599;
;0.0854;-0.2562;0.5021;-0.7611;-0.4449;
;0.0854;-0.0809;0.3805;-0.3242;-0.1515;
;0.0854;-0.1971;0.4824;-0.6295;-0.3649;
;0.0854;-0.1491;0.4486;-0.5067;-0.2727;
;0.0854;0.1856;0.1377;0.3495;0.2947;
;0.0854;0.2158;0.2546;0.6049;0.7043;
;0.0854;0.3451;0.4203;1.3079;1.704;
;0.0854;0.1864;0.1227;0.3936;0.4312;
;0.0854;0.189;0.1529;0.3727;0.3439;
;0.0854;0.1265;0.1682;0.247;0.2034;
;0.0854;0.2343;0.2742;0.6971;0.8097;
;0.0854;0.5123;-0.2399;0.436;0.1651;
;0.0854;0.1945;0.1422;0.3577;0.3057;
;0.0854;0.1889;0.1335;0.2852;0.2484;
;0.0854;0.1899;0.1471;0.3642;0.3152;
;0.0854;0.2293;0.1104;0.4302;0.4285;
;0.0854;0.2279;0.1791;0.4771;0.4415;
;0.0854;0.1947;0.117;0.3374;0.2691;
;0.0854;-0.0106;0.3107;-0.187;-0.0662;
;0.0854;0.1787;0.1673;0.369;0.3742;
;0.0854;0.2474;0.0687;0.3752;0.3379;
;0.0854;0.1882;0.1409;0.4302;0.3937;
;0.0854;0.139;0.2417;0.1365;0.1836;
;0.0854;0.059;0.2442;0.0325;0.0935;
;0.0854;0.2973;0.0062;0.5252;0.3205;
;0.0854;0.1777;0.1678;0.382;0.3555;
;0.0854;0.1464;0.0979;0.3756;0.2818;
;0.0854;0.1712;0.1299;0.349;0.2593;
;0.0854;0.1831;0.1576;0.3348;0.3317;
;0.0854;0.216;0.0737;0.2246;0.1429;
;0.0854;-0.1622;0.4264;-0.4631;-0.2255;
;0.0854;0.2766;0.0165;0.4567;0.1838;
;0.0854;0.1894;0.147;0.3786;0.3276;
;0.0854;-0.2769;0.6278;-1.1432;-0.7421;
;0.0854;0.1776;0.1543;0.3789;0.3228;
;0.0854;0.9826;-0.7977;-0.0169;0.136;
;0.0854;-0.0682;0.3665;-0.2929;-0.1654;
;0.0854;0.2035;0.057;0.3778;0.3178;
;0.0854;0.0521;0.2525;0.1987;0.2883;
;0.0854;0.0197;0.2655;-0.0283;0.0182;
;0.0854;0.079;0.233;0.0545;0.109;
;0.0854;0.2011;0.2032;0.4704;0.4907;
;0.0854;0.1606;0.1043;0.3938;0.3298;
;0.0854;-0.0092;0.2998;-0.1477;-0.0595;
;0.0854;-3.8535;-3.0718;0.321;0.3364;
